match_id,home_team,away_team,home_score,away_score,yellow_cards,stadium
40,Ashdod,Ashdod,3,1,6,Turner
41,Haifa,Netanya,0,1,1,Teddy
42,Haifa,Haifa,1,4,5,Bloomfield
43,Hapoel,Ashdod,0,1,2,Sammy Ofer
44,Hapoel,Beitar,2,3,2,Teddy
45,Netanya,Hapoel,4,4,1,Teddy
46,Maccabi Tel Aviv,Beitar,3,3,3,Bloomfield
47,Maccabi Tel Aviv,Netanya,2,0,3,Sammy Ofer
48,Haifa,Netanya,3,1,5,Sammy Ofer
49,Netanya,Netanya,4,2,3,Teddy
50,Beitar,Beitar,4,1,4,Turner
51,Haifa,Maccabi Tel Aviv,0,3,3,Sammy Ofer
52,Maccabi Tel Aviv,Ashdod,3,4,5,Turner
53,Netanya,Beitar,0,1,7,Turner
54,Beitar,Hapoel,0,2,5,Sammy Ofer
55,Ashdod,Ashdod,3,3,4,Sammy Ofer
56,Netanya,Haifa,1,3,2,Turner
57,Beitar,Maccabi Tel Aviv,4,2,0,Teddy
58,Maccabi Tel Aviv,Maccabi Tel Aviv,4,1,4,Sammy Ofer
59,Netanya,Netanya,3,3,5,Sammy Ofer
60,Beitar,Maccabi Tel Aviv,2,2,6,Turner
61,Hapoel,Ashdod,3,3,7,Turner
62,Ashdod,Beitar,2,4,2,Bloomfield
63,Ashdod,Maccabi Tel Aviv,1,1,6,Sammy Ofer
64,Ashdod,Beitar,3,4,5,Sammy Ofer
65,Beitar,Netanya,1,0,6,Turner
66,Netanya,Haifa,3,2,3,Sammy Ofer
67,Maccabi Tel Aviv,Netanya,2,2,4,Turner
68,Ashdod,Maccabi Tel Aviv,0,4,1,Turner
69,Netanya,Hapoel,1,4,0,Sammy Ofer
70,Netanya,Ashdod,3,4,1,Turner
71,Maccabi Tel Aviv,Maccabi Tel Aviv,4,0,2,Bloomfield
72,Haifa,Ashdod,4,1,4,Sammy Ofer
73,Ashdod,Haifa,4,2,3,Sammy Ofer
74,Maccabi Tel Aviv,Maccabi Tel Aviv,1,1,6,Teddy
75,Ashdod,Beitar,1,4,0,Sammy Ofer
76,Haifa,Ashdod,2,0,4,Sammy Ofer
77,Haifa,Beitar,1,3,5,Teddy
78,Haifa,Maccabi Tel Aviv,3,0,6,Sammy Ofer
79,Netanya,Haifa,2,4,5,Turner
80,Ashdod,Haifa,2,4,4,Bloomfield
81,Ashdod,Ashdod,2,3,7,Turner
82,Beitar,Ashdod,1,4,2,Bloomfield
83,Ashdod,Ashdod,1,0,3,Sammy Ofer
84,Netanya,Maccabi Tel Aviv,0,2,6,Bloomfield
85,Ashdod,Beitar,4,2,4,Turner
86,Netanya,Beitar,2,4,7,Sammy Ofer
87,Beitar,Haifa,1,2,6,Turner
88,Hapoel,Maccabi Tel Aviv,4,1,0,Sammy Ofer
89,Netanya,Haifa,3,0,3,Bloomfield
90,Maccabi Tel Aviv,Netanya,1,2,1,Sammy Ofer
91,Beitar,Netanya,1,1,0,Teddy
92,Ashdod,Netanya,3,1,7,Bloomfield
93,Beitar,Hapoel,0,2,6,Sammy Ofer
94,Maccabi Tel Aviv,Maccabi Tel Aviv,3,2,7,Sammy Ofer
95,Beitar,Maccabi Tel Aviv,4,4,7,Teddy
96,Hapoel,Haifa,4,4,7,Sammy Ofer
97,Beitar,Maccabi Tel Aviv,3,2,1,Bloomfield
98,Haifa,Hapoel,3,0,4,Sammy Ofer
99,Beitar,Maccabi Tel Aviv,2,2,6,Teddy
100,Hapoel,Maccabi Tel Aviv,0,0,4,Sammy Ofer
